ProductId,ProductName,Brand,WeightKg,Price,Color,Material,IsSeasonal,ReviewCount,AverageRating,Description,ProductCategory
PRD-000032,Smart LED Bulb 4-Pack,PureGlow,4.92,520.67,,Glass,0,1495,4,Energy efficient smart lighting for home automation,Sports
PRD-000033,Data Science Handbook,AutoShield,2.74,570.9,Red,Metal,0,1627,3.6,,HomeGarden
PRD-000034,Vitamin C Serum 30ml,NovaTech,1.98,140.6,White,Glass,0,563,4.1,High performance wireless audio with noise cancellation,Automotive
PRD-000035,Trail Running Shoes,GreenLeaf,16.42,370.14,White,Metal,1,262,4.2,Comfortable everyday wear made from organic cotton,HomeGarden
PRD-000036,Trail Running Shoes,BrightHome,3.36,244.51,,Metal,0,1230,4.8,Comfortable everyday wear made from organic cotton,HomeGarden
PRD-000037,Trail Running Shoes,NovaTech,24.84,151.91,White,Glass,0,1050,4.2,Energy efficient smart lighting for home automation,HomeGarden
PRD-000038,Smart LED Bulb 4-Pack,NovaTech,19.03,828.06,Black,Synthetic,0,2160,2.6,Energy efficient smart lighting for home automation,Books
PRD-000039,Building Block Set 500pc,AutoShield,23.24,782.18,Black,Synthetic,0,869,4,,Toys
PRD-000040,Smart LED Bulb 4-Pack,AutoShield,5.16,311.47,,Glass,0,427,3,High performance wireless audio with noise cancellation,Sports
PRD-000041,Data Science Handbook,AutoShield,2.15,181.61,Red,Wood,1,166,3.7,Comfortable everyday wear made from organic cotton,Electronics
PRD-000042,Trail Running Shoes,PeakFit,21.85,215.4,Green,Glass,1,2327,4.3,Comfortable everyday wear made from organic cotton,Automotive
PRD-000043,Pro Wireless Headphones,UrbanWear,18.21,341.4,Blue,Glass,1,2104,3.4,High performance wireless audio with noise cancellation,Automotive
PRD-000044,Smart LED Bulb 4-Pack,UrbanWear,6.81,415.24,Green,Synthetic,1,2423,4.8,Energy efficient smart lighting for home automation,Beauty
PRD-000045,Vitamin C Serum 30ml,PlayCraft,8.54,27.16,Multi,Synthetic,0,1622,4.2,Energy efficient smart lighting for home automation,HomeGarden
PRD-000046,Building Block Set 500pc,PeakFit,1.51,692.6,White,Glass,0,1018,3.8,High performance wireless audio with noise cancellation,Sports
PRD-000047,All-Weather Floor Mats,BrightHome,3.93,238.84,Blue,Metal,1,635,3.5,,Toys
PRD-000048,Data Science Handbook,PureGlow,13.44,139.32,Multi,Glass,1,2413,2.5,High performance wireless audio with noise cancellation,Toys
PRD-000049,Trail Running Shoes,GreenLeaf,0.26,312.24,Black,Cotton,0,1837,4.9,High performance wireless audio with noise cancellation,Clothing
PRD-000050,Data Science Handbook,AutoShield,3.93,890.86,Black,,0,1043,4.7,High performance wireless audio with noise cancellation,Books
PRD-000051,Smart LED Bulb 4-Pack,BrightHome,1.34,49.39,,Plastic,0,1171,3.3,High performance wireless audio with noise cancellation,HomeGarden
PRD-000052,Building Block Set 500pc,PureGlow,4.42,116.34,Multi,Metal,0,2166,2.6,High performance wireless audio with noise cancellation,HomeGarden
PRD-000053,Pro Wireless Headphones,GreenLeaf,17.05,274.84,Multi,Wood,0,739,4.4,Comfortable everyday wear made from organic cotton,HomeGarden
PRD-000054,Organic Cotton Tee,PlayCraft,8.59,894.61,,Metal,0,2051,4.1,Comfortable everyday wear made from organic cotton,Toys
PRD-000055,Smart LED Bulb 4-Pack,GreenLeaf,0.88,114.71,Black,Wood,0,388,3.1,,Toys
PRD-000056,Data Science Handbook,PeakFit,21.46,172.06,,Cotton,0,1244,3.2,Energy efficient smart lighting for home automation,Automotive
PRD-000057,Pro Wireless Headphones,PureGlow,12.51,211.55,Green,Cotton,0,1680,4.9,,Sports
PRD-000058,Trail Running Shoes,GreenLeaf,16.44,496.64,Blue,Wood,0,2394,3.7,Comfortable everyday wear made from organic cotton,Sports
PRD-000059,Pro Wireless Headphones,GreenLeaf,10.72,20.17,Multi,Metal,0,977,4.2,,Automotive
PRD-000060,Data Science Handbook,AutoShield,15.6,686.03,Black,Plastic,0,27,3.3,High performance wireless audio with noise cancellation,Automotive
PRD-000061,Organic Cotton Tee,BrightHome,23.75,282.8,White,Synthetic,1,1969,4.1,,Electronics
PRD-000062,Smart LED Bulb 4-Pack,UrbanWear,23.83,864.14,White,Glass,0,1298,3.1,Energy efficient smart lighting for home automation,Sports
PRD-000063,Data Science Handbook,BrightHome,12.99,258.49,White,Synthetic,0,2485,3.6,Energy efficient smart lighting for home automation,Toys
PRD-000064,Data Science Handbook,PlayCraft,4.87,102.45,Green,Synthetic,1,172,2.8,Energy efficient smart lighting for home automation,Automotive
PRD-000065,Trail Running Shoes,BrightHome,7.67,785.66,Red,Wood,1,1904,4.3,,Sports
PRD-000066,Trail Running Shoes,PureGlow,17.62,519.64,,Cotton,0,1747,2.8,,Books
PRD-000067,Building Block Set 500pc,PeakFit,6.04,234.41,Multi,,1,1130,2.5,High performance wireless audio with noise cancellation,Books
PRD-000068,Smart LED Bulb 4-Pack,AutoShield,5.88,216.5,Black,Wood,0,284,4,Energy efficient smart lighting for home automation,Toys
PRD-000069,All-Weather Floor Mats,PeakFit,7.6,747.14,Black,Glass,0,2237,3.1,Comfortable everyday wear made from organic cotton,Toys
PRD-000070,Smart LED Bulb 4-Pack,AutoShield,16.96,535.22,Multi,,1,567,4,,Clothing
PRD-000071,Pro Wireless Headphones,PlayCraft,18.23,307.91,Blue,Wood,1,2273,4.3,,Beauty
PRD-000072,Organic Cotton Tee,PlayCraft,9.06,127.07,Red,,0,143,3.2,Comfortable everyday wear made from organic cotton,Clothing
PRD-000073,Pro Wireless Headphones,UrbanWear,15.66,396.01,White,Synthetic,0,496,4.6,High performance wireless audio with noise cancellation,Toys
PRD-000074,Trail Running Shoes,GreenLeaf,4.28,323.83,Multi,Plastic,0,1943,2.8,,Sports
PRD-000075,Building Block Set 500pc,AutoShield,13.8,251.73,Red,Metal,0,2475,4,,Toys
PRD-000076,Building Block Set 500pc,PlayCraft,0.4,206.92,Red,Glass,0,1394,3,,Automotive
PRD-000077,Trail Running Shoes,PureGlow,3.99,782.64,,Synthetic,0,676,3.9,Comfortable everyday wear made from organic cotton,Electronics
PRD-000078,Building Block Set 500pc,AutoShield,8.58,450.56,White,Synthetic,0,254,3.1,Comfortable everyday wear made from organic cotton,Books
PRD-000079,Smart LED Bulb 4-Pack,AutoShield,7.49,17.91,Black,Wood,1,1006,2.8,Comfortable everyday wear made from organic cotton,Beauty
PRD-000080,Data Science Handbook,AutoShield,11.4,461.08,Black,Cotton,1,1446,4.9,,Beauty
PRD-000081,All-Weather Floor Mats,UrbanWear,17.38,171.38,White,Metal,0,809,2.8,Comfortable everyday wear made from organic cotton,Electronics
PRD-000082,Pro Wireless Headphones,NovaTech,10.4,551.04,Green,Wood,1,1273,4,,Books
PRD-000083,Data Science Handbook,PureGlow,15.95,810.98,Multi,Metal,1,1358,4,,Clothing
PRD-000084,Vitamin C Serum 30ml,PureGlow,5.37,755.26,,Synthetic,0,2173,2.7,Energy efficient smart lighting for home automation,Toys
PRD-000085,Organic Cotton Tee,PlayCraft,3.05,791.58,Red,Synthetic,0,1136,2.8,High performance wireless audio with noise cancellation,Beauty
PRD-000086,Data Science Handbook,NovaTech,3.69,120.92,Red,Cotton,0,344,3.3,Energy efficient smart lighting for home automation,Electronics
PRD-000087,Vitamin C Serum 30ml,PeakFit,0.14,498.75,White,Metal,1,2092,3.7,Comfortable everyday wear made from organic cotton,HomeGarden
PRD-000088,Organic Cotton Tee,PureGlow,1.86,455.97,White,,0,2450,3.1,Energy efficient smart lighting for home automation,Books
PRD-000089,Vitamin C Serum 30ml,PeakFit,22.15,638.14,,Metal,0,1497,4.1,High performance wireless audio with noise cancellation,Books
PRD-000090,Vitamin C Serum 30ml,PeakFit,14.11,133.25,Red,Metal,1,211,3.1,Energy efficient smart lighting for home automation,Sports
PRD-000091,Building Block Set 500pc,NovaTech,24.44,310.6,Blue,Synthetic,0,240,4.6,Energy efficient smart lighting for home automation,Electronics
PRD-000092,Trail Running Shoes,UrbanWear,0.63,290.6,Blue,Glass,0,861,4.4,,Beauty
PRD-000093,All-Weather Floor Mats,PureGlow,2.97,799.25,,Metal,0,738,4.5,Energy efficient smart lighting for home automation,Automotive
PRD-000094,All-Weather Floor Mats,AutoShield,8.5,10.46,Red,Glass,0,930,4.8,High performance wireless audio with noise cancellation,Beauty
PRD-000095,Pro Wireless Headphones,PeakFit,21.93,419.37,Multi,Glass,0,1032,3,Energy efficient smart lighting for home automation,Beauty
PRD-000096,Vitamin C Serum 30ml,GreenLeaf,8.15,655.81,Blue,Wood,1,1429,2.6,Energy efficient smart lighting for home automation,Toys
PRD-000097,All-Weather Floor Mats,UrbanWear,6.55,595.13,Green,Plastic,0,1205,2.5,,Beauty
PRD-000098,Data Science Handbook,PeakFit,8.21,298.04,Blue,Plastic,0,215,2.7,Energy efficient smart lighting for home automation,Electronics
PRD-000099,Smart LED Bulb 4-Pack,AutoShield,5.07,581.33,Green,Plastic,1,2320,3.3,Energy efficient smart lighting for home automation,Sports
PRD-000100,Vitamin C Serum 30ml,BrightHome,9.51,210.31,Blue,Glass,1,383,4.6,,Books
PRD-000101,All-Weather Floor Mats,NovaTech,21.89,753.42,White,Metal,1,1338,2.7,Energy efficient smart lighting for home automation,Automotive
PRD-000102,Pro Wireless Headphones,AutoShield,20.75,565.48,Black,Synthetic,0,1321,2.8,Energy efficient smart lighting for home automation,Toys
PRD-000103,Vitamin C Serum 30ml,NovaTech,6.16,264.66,,Cotton,0,2143,2.6,,Electronics
PRD-000104,Organic Cotton Tee,PureGlow,11.2,351.51,Green,Glass,0,2177,4.4,Comfortable everyday wear made from organic cotton,Toys
PRD-000105,Vitamin C Serum 30ml,GreenLeaf,1.78,239.07,White,Plastic,0,387,3.9,,Clothing
PRD-000106,Smart LED Bulb 4-Pack,GreenLeaf,5.01,336.77,Blue,Glass,0,2186,3.3,High performance wireless audio with noise cancellation,Electronics
PRD-000107,Vitamin C Serum 30ml,GreenLeaf,23.82,489.81,Green,Glass,1,1513,4.8,High performance wireless audio with noise cancellation,Toys
PRD-000108,Smart LED Bulb 4-Pack,PlayCraft,5.2,540.12,Red,Wood,1,1685,4.3,Energy efficient smart lighting for home automation,Electronics
PRD-000109,All-Weather Floor Mats,UrbanWear,24.15,856.05,Multi,Plastic,0,816,3.5,Comfortable everyday wear made from organic cotton,Beauty
PRD-000110,Trail Running Shoes,AutoShield,21.7,674.71,Multi,Metal,1,235,2.7,Comfortable everyday wear made from organic cotton,Books
PRD-000111,All-Weather Floor Mats,GreenLeaf,10.12,724.41,,Synthetic,0,1728,3.9,,Clothing
PRD-000112,Data Science Handbook,PlayCraft,21.3,309.52,Blue,Glass,0,975,3.1,Energy efficient smart lighting for home automation,Books
PRD-000113,Building Block Set 500pc,GreenLeaf,5.76,184.07,White,Synthetic,1,2483,3.2,Energy efficient smart lighting for home automation,Sports
PRD-000114,Vitamin C Serum 30ml,GreenLeaf,22.23,797.18,Black,Metal,0,2249,3,Comfortable everyday wear made from organic cotton,Sports
PRD-000115,Vitamin C Serum 30ml,BrightHome,10.61,62.4,Blue,Wood,1,1460,3,High performance wireless audio with noise cancellation,Clothing
PRD-000116,Pro Wireless Headphones,PeakFit,16.87,57.69,White,Cotton,0,761,3.1,High performance wireless audio with noise cancellation,Beauty
PRD-000117,Pro Wireless Headphones,GreenLeaf,10.85,240.11,Green,Cotton,0,1525,2.9,Energy efficient smart lighting for home automation,Electronics
PRD-000118,Data Science Handbook,PureGlow,3.99,212.07,,Wood,1,764,3,Energy efficient smart lighting for home automation,Books
PRD-000119,Organic Cotton Tee,UrbanWear,6.94,898.09,Red,Synthetic,0,1351,3.9,,Beauty
PRD-000120,Smart LED Bulb 4-Pack,PlayCraft,10.97,752.45,,Plastic,0,2310,3.5,Energy efficient smart lighting for home automation,Electronics
PRD-000121,Smart LED Bulb 4-Pack,BrightHome,16.1,184.54,Black,Wood,0,1822,3.7,,Beauty
PRD-000122,Building Block Set 500pc,UrbanWear,19.4,171.92,Black,Cotton,1,1370,4.5,Energy efficient smart lighting for home automation,Sports
PRD-000123,Trail Running Shoes,AutoShield,3.95,693.13,Multi,Metal,0,2304,4.1,Comfortable everyday wear made from organic cotton,Sports
PRD-000124,Vitamin C Serum 30ml,NovaTech,11.31,669.13,Multi,Synthetic,1,1193,4,Energy efficient smart lighting for home automation,HomeGarden
PRD-000125,Pro Wireless Headphones,NovaTech,18.23,509.52,Red,Plastic,0,2079,3,Comfortable everyday wear made from organic cotton,HomeGarden
PRD-000126,Data Science Handbook,PeakFit,18.5,628.17,Blue,Cotton,0,1626,4.3,,Electronics
PRD-000127,Trail Running Shoes,BrightHome,5.4,131.01,Blue,Metal,0,1875,2.8,Comfortable everyday wear made from organic cotton,Books
PRD-000128,Trail Running Shoes,PlayCraft,5.13,134.37,,Plastic,0,669,3.6,Comfortable everyday wear made from organic cotton,Electronics
PRD-000129,Building Block Set 500pc,BrightHome,17.63,740.43,Blue,Wood,1,2233,2.9,Comfortable everyday wear made from organic cotton,Automotive
PRD-000130,Data Science Handbook,BrightHome,20.15,214.63,Multi,,1,179,3.9,High performance wireless audio with noise cancellation,Toys
PRD-000131,All-Weather Floor Mats,BrightHome,3.39,882.9,Blue,Plastic,0,640,3.1,High performance wireless audio with noise cancellation,Toys
PRD-000132,Smart LED Bulb 4-Pack,NovaTech,19.67,365.99,Red,Metal,1,2244,3.3,High performance wireless audio with noise cancellation,Clothing
PRD-000133,Trail Running Shoes,PureGlow,7.76,89.1,Black,Synthetic,0,2450,2.8,,Toys
PRD-000134,Organic Cotton Tee,BrightHome,16.27,496.36,Black,Wood,0,1463,3,High performance wireless audio with noise cancellation,Sports
PRD-000135,Data Science Handbook,PureGlow,23.33,545.76,Multi,Metal,0,1694,3.5,,Automotive
PRD-000136,Pro Wireless Headphones,GreenLeaf,16.55,313.6,Blue,Plastic,0,1218,5,Comfortable everyday wear made from organic cotton,Automotive
PRD-000137,Data Science Handbook,UrbanWear,8.89,623.04,Green,Synthetic,1,1595,3.5,,Books
PRD-000138,Smart LED Bulb 4-Pack,PeakFit,11.36,641.18,Multi,Glass,0,1760,3.6,Energy efficient smart lighting for home automation,HomeGarden
PRD-000139,Data Science Handbook,PureGlow,1.62,802.15,Red,Synthetic,0,345,4,Energy efficient smart lighting for home automation,Electronics
PRD-000140,Building Block Set 500pc,BrightHome,12.89,316.07,White,Wood,0,1558,3.8,Comfortable everyday wear made from organic cotton,Toys
PRD-000141,All-Weather Floor Mats,UrbanWear,12.55,464.01,White,Wood,0,1286,3.8,,Clothing
PRD-000142,Trail Running Shoes,BrightHome,4.29,36.62,,Plastic,0,912,3.9,Energy efficient smart lighting for home automation,Electronics
PRD-000143,Trail Running Shoes,PeakFit,4.44,642.9,Multi,Wood,1,905,3.9,Comfortable everyday wear made from organic cotton,Toys
PRD-000144,Smart LED Bulb 4-Pack,NovaTech,2.71,308.89,Blue,Synthetic,1,1539,4.7,Comfortable everyday wear made from organic cotton,Sports
PRD-000145,Organic Cotton Tee,UrbanWear,14.48,188.05,White,Wood,0,1455,3.9,High performance wireless audio with noise cancellation,Electronics
PRD-000146,Data Science Handbook,GreenLeaf,17.34,30.49,Green,Glass,0,663,3.5,Energy efficient smart lighting for home automation,Automotive
PRD-000147,Data Science Handbook,NovaTech,14.06,588.16,White,Wood,1,723,4.6,,Automotive
PRD-000148,Smart LED Bulb 4-Pack,NovaTech,15.17,550.11,Black,Metal,0,2171,2.7,,Toys
PRD-000149,Vitamin C Serum 30ml,PlayCraft,7.21,763.94,White,Synthetic,0,622,4.8,High performance wireless audio with noise cancellation,Electronics
PRD-000150,Vitamin C Serum 30ml,PureGlow,13.29,79.72,White,Plastic,0,768,4.9,Energy efficient smart lighting for home automation,Electronics
PRD-000151,Pro Wireless Headphones,AutoShield,10.29,329.13,Multi,Glass,0,168,3.3,High performance wireless audio with noise cancellation,Electronics
PRD-000152,Building Block Set 500pc,AutoShield,20.98,880.33,Multi,Cotton,1,500,3.5,High performance wireless audio with noise cancellation,Sports
PRD-000153,All-Weather Floor Mats,PlayCraft,22.17,8.94,Green,Synthetic,0,1041,4,Comfortable everyday wear made from organic cotton,Automotive
PRD-000154,Trail Running Shoes,NovaTech,18.16,152.81,Green,Synthetic,0,168,3.9,Energy efficient smart lighting for home automation,Electronics
PRD-000155,Organic Cotton Tee,GreenLeaf,15.3,462.2,Red,Glass,1,1722,4.2,Comfortable everyday wear made from organic cotton,Automotive
PRD-000156,Organic Cotton Tee,NovaTech,3.5,655.92,White,Cotton,0,2362,3,Energy efficient smart lighting for home automation,Toys
PRD-000157,Organic Cotton Tee,GreenLeaf,20.96,386.18,Black,Plastic,0,968,4.8,Comfortable everyday wear made from organic cotton,Toys
PRD-000158,Trail Running Shoes,PlayCraft,22.1,432.59,Green,Plastic,0,1510,4.9,,Books
PRD-000159,Trail Running Shoes,GreenLeaf,9.79,409.98,,Glass,0,2139,2.9,High performance wireless audio with noise cancellation,HomeGarden
PRD-000160,All-Weather Floor Mats,UrbanWear,13.58,188.34,Multi,Wood,0,644,2.6,Energy efficient smart lighting for home automation,Clothing
PRD-000161,Trail Running Shoes,NovaTech,16.3,723.3,Black,Plastic,0,1833,3.2,Comfortable everyday wear made from organic cotton,Beauty
PRD-000162,Smart LED Bulb 4-Pack,UrbanWear,5.16,529.89,White,Wood,1,764,3.1,High performance wireless audio with noise cancellation,Automotive
PRD-000163,All-Weather Floor Mats,BrightHome,19.75,5.35,Green,Glass,0,1749,3.8,Energy efficient smart lighting for home automation,Toys
PRD-000164,Data Science Handbook,AutoShield,8.38,134.96,White,Cotton,0,683,4.8,High performance wireless audio with noise cancellation,HomeGarden
PRD-000165,Building Block Set 500pc,PeakFit,14.43,515.11,Black,Wood,1,2427,2.6,,Toys
PRD-000166,Pro Wireless Headphones,PureGlow,12.75,291.56,Multi,Wood,0,105,2.5,High performance wireless audio with noise cancellation,Electronics
PRD-000167,All-Weather Floor Mats,PeakFit,16.56,238.73,Red,Glass,1,1167,3.3,High performance wireless audio with noise cancellation,HomeGarden
PRD-000168,Data Science Handbook,PlayCraft,24.53,633.62,Multi,Wood,0,1222,3.3,High performance wireless audio with noise cancellation,Beauty
PRD-000169,Data Science Handbook,AutoShield,9.27,305.96,White,Metal,0,1540,3.6,High performance wireless audio with noise cancellation,Sports
PRD-000170,Organic Cotton Tee,BrightHome,11.07,304.31,Green,Glass,0,934,2.7,Energy efficient smart lighting for home automation,Beauty
PRD-000171,Organic Cotton Tee,PureGlow,8.07,36.56,Red,Wood,0,2235,3,,Electronics
PRD-000172,Trail Running Shoes,GreenLeaf,23.83,798.55,Green,Plastic,0,597,4.7,,Automotive
PRD-000173,Data Science Handbook,BrightHome,7.26,21.3,Red,Metal,0,1569,4.6,High performance wireless audio with noise cancellation,Books
PRD-000174,Building Block Set 500pc,PlayCraft,4.82,847.34,Black,Glass,0,1549,4.6,Comfortable everyday wear made from organic cotton,Books
PRD-000175,Smart LED Bulb 4-Pack,NovaTech,20.99,616.66,Red,Glass,0,1846,3.7,Energy efficient smart lighting for home automation,Beauty
PRD-000176,Vitamin C Serum 30ml,NovaTech,8.85,463.14,,Metal,0,1920,4.7,Energy efficient smart lighting for home automation,Books
PRD-000177,Vitamin C Serum 30ml,NovaTech,22.56,700.77,Green,Cotton,0,1956,3.2,Energy efficient smart lighting for home automation,Toys
PRD-000178,Smart LED Bulb 4-Pack,NovaTech,23.28,352.23,White,Metal,0,424,3.4,High performance wireless audio with noise cancellation,Clothing
PRD-000179,Smart LED Bulb 4-Pack,PlayCraft,21.15,612.32,Green,Cotton,1,2361,4.9,,Beauty
PRD-000180,Building Block Set 500pc,PureGlow,11.61,322.29,Blue,Plastic,1,1401,5,Comfortable everyday wear made from organic cotton,HomeGarden
PRD-000181,Trail Running Shoes,NovaTech,11.93,759.68,,Metal,1,999,3.1,High performance wireless audio with noise cancellation,Sports
PRD-000182,Vitamin C Serum 30ml,BrightHome,22.89,20.98,Green,Synthetic,0,2058,4.5,High performance wireless audio with noise cancellation,Beauty
PRD-000183,Trail Running Shoes,PlayCraft,13.63,839.72,Blue,Glass,1,1218,2.9,Energy efficient smart lighting for home automation,Toys
PRD-000184,Data Science Handbook,NovaTech,8.38,210.5,,Plastic,1,2044,3.8,High performance wireless audio with noise cancellation,Electronics
PRD-000185,Smart LED Bulb 4-Pack,UrbanWear,19.86,362.95,Green,Metal,0,700,3.8,Comfortable everyday wear made from organic cotton,Toys
PRD-000186,Building Block Set 500pc,UrbanWear,8.75,804.28,Black,,0,1383,2.9,Energy efficient smart lighting for home automation,Toys
PRD-000187,Trail Running Shoes,PlayCraft,8.62,146.37,Red,Synthetic,1,1875,2.6,,Sports
PRD-000188,Pro Wireless Headphones,NovaTech,19.54,42.77,Multi,Plastic,1,230,3.5,High performance wireless audio with noise cancellation,Books
PRD-000189,Trail Running Shoes,PureGlow,0.67,837.49,Multi,Plastic,1,2062,4.6,Comfortable everyday wear made from organic cotton,Automotive
PRD-000190,Data Science Handbook,PeakFit,20.17,807.65,,Wood,0,2364,4.9,Energy efficient smart lighting for home automation,Books
PRD-000191,Data Science Handbook,BrightHome,5.37,428.43,Multi,Synthetic,0,1498,3.2,,Beauty
PRD-000192,Smart LED Bulb 4-Pack,PeakFit,18.61,824.96,Blue,Glass,0,416,2.6,Energy efficient smart lighting for home automation,Books
PRD-000193,All-Weather Floor Mats,PlayCraft,5.35,392.03,White,Cotton,1,1619,2.8,Energy efficient smart lighting for home automation,Sports
PRD-000194,Organic Cotton Tee,PureGlow,18.08,574.69,Red,Plastic,0,1317,4.6,,Clothing
PRD-000195,Pro Wireless Headphones,NovaTech,0.41,493.05,Red,,1,2262,3.2,,Electronics
PRD-000196,Smart LED Bulb 4-Pack,UrbanWear,22.1,87.94,Green,Metal,0,2449,4.6,Energy efficient smart lighting for home automation,HomeGarden
PRD-000197,Vitamin C Serum 30ml,PeakFit,19.83,682.12,Green,Cotton,1,2486,2.8,Comfortable everyday wear made from organic cotton,Toys
PRD-000198,Data Science Handbook,UrbanWear,22.52,792.08,,Wood,1,834,3.3,,Automotive
PRD-000199,Building Block Set 500pc,PeakFit,11.3,364.4,Multi,Plastic,1,646,3.9,Comfortable everyday wear made from organic cotton,Clothing
PRD-000200,Vitamin C Serum 30ml,PureGlow,21.37,544.83,Blue,Plastic,0,2147,3.3,,Beauty
PRD-000201,Smart LED Bulb 4-Pack,AutoShield,0.32,62,Blue,Cotton,0,1826,4.3,High performance wireless audio with noise cancellation,Clothing
PRD-000202,Building Block Set 500pc,PureGlow,9.31,227.32,White,Plastic,0,1922,2.9,Energy efficient smart lighting for home automation,Clothing
PRD-000203,Pro Wireless Headphones,BrightHome,24.74,169.96,Multi,Glass,1,1531,3.6,Comfortable everyday wear made from organic cotton,Books
PRD-000204,All-Weather Floor Mats,PlayCraft,2.9,162.03,White,Glass,0,1713,3,,Automotive
PRD-000205,Building Block Set 500pc,PureGlow,21.5,64.34,,Wood,1,2424,3.1,Comfortable everyday wear made from organic cotton,Sports
PRD-000206,Pro Wireless Headphones,PlayCraft,21.95,247.02,Blue,Glass,0,1982,4.6,Comfortable everyday wear made from organic cotton,Sports
PRD-000207,Building Block Set 500pc,PeakFit,16.36,521.91,Red,Metal,1,516,3.5,Comfortable everyday wear made from organic cotton,Electronics
PRD-000208,Pro Wireless Headphones,AutoShield,11.81,772.01,Blue,Metal,0,1166,3.4,High performance wireless audio with noise cancellation,HomeGarden
PRD-000209,All-Weather Floor Mats,NovaTech,7.07,148.42,Green,Wood,0,582,4.9,Energy efficient smart lighting for home automation,Automotive
