RecordId,Text,DocumentType,WordCount,Source
NLP-000025,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000026,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Ticket
NLP-000027,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000028,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000029,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000030,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000031,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000032,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,SocialMedia
NLP-000033,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000034,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000035,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000036,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000037,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000038,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000039,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000040,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000041,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000042,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000043,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Survey
NLP-000044,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000045,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000046,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000047,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000048,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000049,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000050,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000051,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000052,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Review
NLP-000053,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000054,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000055,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000056,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000057,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Email
NLP-000058,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000059,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000060,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000061,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Ticket
NLP-000062,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Ticket
NLP-000063,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000064,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000065,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000066,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000067,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Review
NLP-000068,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000069,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000070,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Survey
NLP-000071,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000072,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000073,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000074,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000075,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000076,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000077,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000078,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000079,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000080,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000081,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Chat
NLP-000082,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000083,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000084,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000085,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000086,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000087,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000088,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000089,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Ticket
NLP-000090,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000091,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000092,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000093,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000094,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000095,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000096,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000097,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000098,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Survey
NLP-000099,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000100,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000101,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000102,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000103,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000104,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000105,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000106,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000107,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000108,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Survey
NLP-000109,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000110,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000111,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000112,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Survey
NLP-000113,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000114,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000115,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000116,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000117,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Email
NLP-000118,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000119,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000120,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000121,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Survey
NLP-000122,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000123,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Email
NLP-000124,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Survey
NLP-000125,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000126,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000127,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000128,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000129,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000130,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000131,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000132,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000133,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Survey
NLP-000134,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000135,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000136,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Review
NLP-000137,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Ticket
NLP-000138,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Ticket
NLP-000139,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Survey
NLP-000140,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000141,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000142,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,SocialMedia
NLP-000143,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000144,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000145,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000146,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000147,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000148,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000149,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000150,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000151,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Survey
NLP-000152,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000153,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000154,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000155,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000156,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000157,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000158,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000159,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000160,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000161,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000162,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000163,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000164,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000165,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000166,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000167,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000168,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000169,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000170,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000171,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000172,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000173,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,SocialMedia
NLP-000174,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000175,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000176,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000177,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000178,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000179,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000180,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000181,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000182,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Ticket
NLP-000183,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000184,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000185,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000186,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000187,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000188,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Ticket
NLP-000189,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000190,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000191,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Email
NLP-000192,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000193,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000194,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000195,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Survey
NLP-000196,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Ticket
NLP-000197,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Survey
NLP-000198,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000199,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000200,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000201,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000202,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Survey
NLP-000203,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000204,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000205,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Chat
NLP-000206,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000207,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Chat
NLP-000208,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,SocialMedia
NLP-000209,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Chat
NLP-000210,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Chat
NLP-000211,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000212,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000213,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000214,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000215,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000216,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000217,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000218,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000219,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000220,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000221,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000222,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000223,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Ticket
NLP-000224,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000225,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000226,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000227,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000228,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000229,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000230,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Survey
NLP-000231,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000232,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,SocialMedia
NLP-000233,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Ticket
NLP-000234,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Email
NLP-000235,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000236,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000237,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,SocialMedia
NLP-000238,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000239,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Ticket
NLP-000240,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000241,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000242,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000243,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000244,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000245,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000246,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000247,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000248,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,SocialMedia
NLP-000249,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000250,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000251,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Chat
NLP-000252,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000253,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000254,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,SocialMedia
NLP-000255,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000256,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000257,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000258,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000259,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000260,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000261,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000262,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000263,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Email
NLP-000264,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000265,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Survey
NLP-000266,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000267,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000268,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Survey
NLP-000269,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000270,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Survey
NLP-000271,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000272,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000273,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000274,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Ticket
NLP-000275,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000276,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000277,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000278,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000279,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000280,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000281,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000282,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Ticket
NLP-000283,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Review
NLP-000284,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000285,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000286,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000287,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Email
NLP-000288,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000289,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000290,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000291,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Email
NLP-000292,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Chat
NLP-000293,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000294,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000295,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Email
NLP-000296,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,SocialMedia
NLP-000297,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Review
NLP-000298,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000299,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000300,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000301,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000302,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Chat
NLP-000303,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Survey
NLP-000304,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000305,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Review
NLP-000306,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000307,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000308,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
NLP-000309,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Chat
NLP-000310,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000311,The receiving party agrees not to disclose confidential information for five years.,NDA,12,SocialMedia
NLP-000312,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Survey
NLP-000313,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,SocialMedia
NLP-000314,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000315,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000316,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000317,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Survey
NLP-000318,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Email
NLP-000319,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000320,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000321,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000322,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Chat
NLP-000323,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000324,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,SocialMedia
NLP-000325,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,SocialMedia
NLP-000326,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,SocialMedia
NLP-000327,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Ticket
NLP-000328,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
