TicketId,CustomerTier,Channel,Priority,ProductLine,ResponseTimeHours,ResolutionTimeHours,AgentExperienceYears,Escalated,CustomerSentimentScore,TicketSubject,TicketCategory
TKT-000020,Platinum,Phone,High,RetailPOS,31.3,15.8,0.8,0,-0.39,App crashes on startup,Billing
TKT-000021,Bronze,WebPortal,Critical,MobileApp,7.3,19.5,4.8,1,-0.38,App crashes on startup,Shipping
TKT-000022,Bronze,Chat,Low,CloudSuite,46,61.1,9.6,0,0.3,Cannot reset password,Returns
TKT-000023,Gold,Chat,Critical,MobileApp,11.5,66.6,5.7,0,-0.72,API rate limit exceeded,Billing
TKT-000024,Bronze,Phone,Medium,RetailPOS,9.5,6.2,11.2,0,-0.46,Cannot reset password,Billing
TKT-000025,Platinum,Email,Low,CloudSuite,23.7,86.3,4.6,0,0.34,Cannot reset password,Technical
TKT-000026,Gold,Email,High,RetailPOS,32.3,116.2,2.4,0,-0.32,API rate limit exceeded,ProductInquiry
TKT-000027,Platinum,Phone,High,CloudSuite,26.4,16.7,2,0,-0.64,API rate limit exceeded,Shipping
TKT-000028,Platinum,WebPortal,Low,MobileApp,45.2,3.3,10.7,0,0.9,App crashes on startup,Technical
TKT-000029,Platinum,Email,Low,RetailPOS,7.1,4.9,10.5,0,-0.78,Request refund for order #4421,Shipping
TKT-000030,Bronze,WebPortal,Critical,RetailPOS,18.1,3.9,6.8,0,0.01,Request refund for order #4421,Shipping
TKT-000031,Silver,WebPortal,High,EnterpriseERP,46.8,9.8,9.7,0,-0.85,Cannot reset password,AccountAccess
TKT-000032,Silver,Chat,High,CloudSuite,38.5,119.7,10.1,1,0.5,Request refund for order #4421,Technical
TKT-000033,Silver,Email,Medium,EnterpriseERP,14.5,33.7,6.3,0,0.05,API rate limit exceeded,Shipping
TKT-000034,Platinum,Chat,High,RetailPOS,38,111.9,9.7,0,-0.91,Delayed shipment tracking,Billing
TKT-000035,Bronze,Phone,High,CloudSuite,26.5,18.9,1.3,0,-0.73,Delayed shipment tracking,Billing
TKT-000036,Platinum,Phone,Low,RetailPOS,27.6,90.8,5.8,0,-0.88,Delayed shipment tracking,Billing
TKT-000037,Silver,Phone,Low,EnterpriseERP,40.3,75.1,6,0,-0.28,Request refund for order #4421,ProductInquiry
TKT-000038,Bronze,Chat,Low,RetailPOS,4,69.2,9.5,0,-0.27,Invoice discrepancy for March,Technical
TKT-000039,Bronze,Chat,High,MobileApp,47.4,73.6,0.6,1,-0.76,App crashes on startup,Billing
TKT-000040,Gold,WebPortal,Low,CloudSuite,0.3,18.8,7.3,0,0.45,Invoice discrepancy for March,ProductInquiry
TKT-000041,Bronze,Email,Critical,EnterpriseERP,37.2,105.9,11.7,0,-0.67,Cannot reset password,Technical
TKT-000042,Silver,Email,Critical,MobileApp,28.3,25.7,5.3,1,-0.6,API rate limit exceeded,AccountAccess
TKT-000043,Gold,Email,Medium,CloudSuite,19.4,102.5,8.7,0,0.42,Invoice discrepancy for March,Technical
TKT-000044,Silver,WebPortal,Medium,CloudSuite,32.1,34.7,2.1,0,-0.26,Invoice discrepancy for March,Technical
TKT-000045,Gold,Phone,High,RetailPOS,13.3,71.7,1.7,0,-0.62,App crashes on startup,Returns
TKT-000046,Platinum,WebPortal,High,CloudSuite,34.3,42.5,7.3,0,-0.36,Delayed shipment tracking,Shipping
TKT-000047,Platinum,WebPortal,Critical,MobileApp,41,91.5,3.5,0,0,Delayed shipment tracking,AccountAccess
TKT-000048,Platinum,Chat,High,EnterpriseERP,2.9,30.2,10.2,0,0.46,Request refund for order #4421,Returns
TKT-000049,Bronze,Chat,Low,RetailPOS,10.3,46.1,3.3,0,0.31,Cannot reset password,Technical
TKT-000050,Gold,Email,Low,EnterpriseERP,46.5,36.8,10.8,0,-0.59,Request refund for order #4421,Technical
TKT-000051,Gold,Phone,Critical,EnterpriseERP,45.5,46.5,7.2,0,-0.95,API rate limit exceeded,Billing
TKT-000052,Bronze,Email,Critical,MobileApp,27.6,28.8,8.1,0,-0.54,App crashes on startup,Shipping
TKT-000053,Bronze,WebPortal,Critical,RetailPOS,32.6,26.1,11.2,0,0.96,App crashes on startup,AccountAccess
TKT-000054,Bronze,WebPortal,Low,EnterpriseERP,37.6,46.9,4.4,0,-0.39,Cannot reset password,Shipping
TKT-000055,Gold,WebPortal,Critical,EnterpriseERP,38,63.5,8.8,1,0.48,API rate limit exceeded,Shipping
TKT-000056,Platinum,WebPortal,High,RetailPOS,33.2,113.8,10.2,1,0.39,API rate limit exceeded,Returns
TKT-000057,Bronze,Email,Low,RetailPOS,44.6,27.3,10.6,0,-0.04,API rate limit exceeded,Billing
TKT-000058,Gold,Chat,High,MobileApp,33.4,94.1,5.5,0,-0.32,Invoice discrepancy for March,Billing
TKT-000059,Gold,Chat,High,RetailPOS,39.8,119.7,3.6,1,-0.12,Request refund for order #4421,AccountAccess
TKT-000060,Bronze,Phone,Critical,CloudSuite,34.8,71.5,9.1,1,-0.32,Request refund for order #4421,Shipping
TKT-000061,Bronze,Chat,Medium,CloudSuite,5.3,92.3,11.6,0,-0.63,Invoice discrepancy for March,Shipping
TKT-000062,Platinum,Phone,Critical,MobileApp,19.3,46.3,3.6,0,0.04,Delayed shipment tracking,Technical
TKT-000063,Silver,WebPortal,Critical,RetailPOS,39.8,30.2,7.7,0,-0.21,Invoice discrepancy for March,Returns
TKT-000064,Gold,Chat,Medium,EnterpriseERP,19.6,72.6,10.8,0,0.98,Cannot reset password,AccountAccess
TKT-000065,Silver,WebPortal,Critical,RetailPOS,7.1,94.9,8.1,0,-0.07,Cannot reset password,Shipping
TKT-000066,Bronze,Phone,Critical,CloudSuite,21,26.5,2.2,0,0.52,Delayed shipment tracking,Technical
TKT-000067,Bronze,Chat,Low,MobileApp,5.4,31.3,3,0,0.44,API rate limit exceeded,ProductInquiry
TKT-000068,Silver,Phone,Critical,EnterpriseERP,27.5,103.7,11.3,0,0.95,API rate limit exceeded,ProductInquiry
TKT-000069,Gold,Phone,Critical,EnterpriseERP,12.8,36.9,10.8,1,-0.9,API rate limit exceeded,Technical
TKT-000070,Gold,WebPortal,Low,CloudSuite,38.4,89.1,7.1,0,0.17,API rate limit exceeded,Billing
TKT-000071,Silver,Phone,High,MobileApp,37.1,43.2,6.3,0,-0.17,Request refund for order #4421,Technical
TKT-000072,Silver,Email,Medium,EnterpriseERP,46.7,84.6,0.6,1,-0.29,Delayed shipment tracking,Returns
TKT-000073,Platinum,Chat,High,MobileApp,39.7,83.2,5.6,0,0.87,App crashes on startup,Technical
TKT-000074,Bronze,WebPortal,Medium,MobileApp,6.9,77.6,8.2,0,0.17,Delayed shipment tracking,Billing
TKT-000075,Platinum,Phone,Medium,EnterpriseERP,27.7,89.2,7.5,1,-0.62,Cannot reset password,ProductInquiry
TKT-000076,Bronze,Email,Critical,RetailPOS,25.7,6.3,8.7,1,0.33,Delayed shipment tracking,Billing
TKT-000077,Gold,Chat,Medium,RetailPOS,9,62.6,10.3,1,-0.67,Invoice discrepancy for March,AccountAccess
TKT-000078,Silver,Chat,Critical,EnterpriseERP,25.1,13.1,9.4,0,0.15,Delayed shipment tracking,ProductInquiry
TKT-000079,Platinum,Chat,Critical,RetailPOS,30.8,59.8,11.4,0,-0.02,API rate limit exceeded,Shipping
TKT-000080,Platinum,Chat,Critical,MobileApp,19.4,33.5,4.4,0,-0.45,API rate limit exceeded,AccountAccess
TKT-000081,Silver,Email,High,MobileApp,1.6,71.9,10.3,0,-0.89,Request refund for order #4421,AccountAccess
TKT-000082,Silver,WebPortal,Low,RetailPOS,28.1,111.2,1.8,0,-0.25,Delayed shipment tracking,Shipping
TKT-000083,Silver,Chat,Medium,CloudSuite,27.3,110.8,9.4,0,0.73,Cannot reset password,ProductInquiry
TKT-000084,Gold,Phone,Medium,MobileApp,29.8,115.8,7.7,0,0.24,App crashes on startup,Billing
TKT-000085,Silver,Chat,Critical,CloudSuite,28.3,49.3,11.8,1,-0.97,Invoice discrepancy for March,Technical
TKT-000086,Platinum,WebPortal,Critical,RetailPOS,16.6,5.4,11.1,0,0.19,App crashes on startup,Technical
TKT-000087,Gold,Chat,Low,MobileApp,19.1,65.5,8.6,0,0.88,App crashes on startup,Billing
TKT-000088,Platinum,Chat,Medium,MobileApp,12.3,63.6,11.8,0,-0.71,Invoice discrepancy for March,Shipping
TKT-000089,Gold,Chat,High,MobileApp,31.1,17.2,10.5,0,-0.22,Cannot reset password,Billing
TKT-000090,Platinum,Chat,Critical,CloudSuite,8.9,52.4,3.1,0,0.6,App crashes on startup,Technical
TKT-000091,Silver,WebPortal,Medium,CloudSuite,19.9,108.4,1.2,0,0.69,App crashes on startup,Technical
TKT-000092,Gold,Chat,Critical,RetailPOS,11.3,19.5,5.8,0,-0.43,Request refund for order #4421,Billing
TKT-000093,Gold,Chat,Critical,RetailPOS,26.6,24.8,6,1,0.7,Cannot reset password,AccountAccess
TKT-000094,Gold,WebPortal,Low,EnterpriseERP,17.6,24.2,3.1,0,0.38,Invoice discrepancy for March,Technical
TKT-000095,Bronze,WebPortal,Medium,CloudSuite,26.7,75.1,4.4,0,0.32,Cannot reset password,Technical
TKT-000096,Silver,WebPortal,Medium,CloudSuite,18.1,95.7,7.4,0,0.71,App crashes on startup,AccountAccess
TKT-000097,Bronze,WebPortal,Low,CloudSuite,19.3,45.9,1.9,0,0.59,API rate limit exceeded,Shipping
TKT-000098,Bronze,WebPortal,High,CloudSuite,41.9,11.1,2.7,0,-0.99,Request refund for order #4421,AccountAccess
TKT-000099,Silver,Phone,High,MobileApp,10,24.8,2.4,0,-0.42,App crashes on startup,ProductInquiry
TKT-000100,Bronze,WebPortal,Medium,CloudSuite,24.6,38.7,10.7,0,-0.37,Delayed shipment tracking,Returns
TKT-000101,Platinum,Email,High,EnterpriseERP,30.5,54.5,2.1,0,0.82,Cannot reset password,Technical
TKT-000102,Platinum,Phone,Low,MobileApp,47.5,86.2,3.6,0,0,App crashes on startup,Technical
TKT-000103,Silver,Chat,Low,RetailPOS,4.1,44.3,9,1,0.16,Request refund for order #4421,Technical
TKT-000104,Silver,Email,Medium,CloudSuite,20.5,100.4,11.4,0,-0.51,Delayed shipment tracking,AccountAccess
TKT-000105,Platinum,WebPortal,Low,RetailPOS,16.6,98.2,7.7,0,0.27,Delayed shipment tracking,Billing
TKT-000106,Silver,Chat,Low,RetailPOS,47.9,36.9,10.5,0,-0.39,App crashes on startup,ProductInquiry
TKT-000107,Silver,Email,Low,EnterpriseERP,21,95.8,6,1,-0.15,Delayed shipment tracking,Billing
TKT-000108,Bronze,Chat,Critical,MobileApp,6.5,37.2,1.3,0,0.45,Delayed shipment tracking,Technical
TKT-000109,Bronze,WebPortal,High,RetailPOS,26.6,101.1,4,1,0.62,Invoice discrepancy for March,Shipping
TKT-000110,Platinum,WebPortal,Low,EnterpriseERP,29.6,63.1,8.8,0,0.15,Invoice discrepancy for March,AccountAccess
TKT-000111,Gold,Phone,Medium,MobileApp,16,36.7,8.3,0,0.8,Delayed shipment tracking,Billing
TKT-000112,Bronze,WebPortal,Critical,RetailPOS,21.3,81.9,10.1,1,-0.03,Request refund for order #4421,Returns
TKT-000113,Silver,Email,Medium,CloudSuite,31.8,115.8,7.2,0,0.66,API rate limit exceeded,AccountAccess
TKT-000114,Gold,WebPortal,High,MobileApp,30.8,113.3,5.6,0,0.98,Request refund for order #4421,Technical
TKT-000115,Silver,Chat,Medium,RetailPOS,37.8,22.6,1.2,1,-0.25,App crashes on startup,Technical
TKT-000116,Platinum,WebPortal,Critical,CloudSuite,14.2,17.5,6.2,0,0.55,Delayed shipment tracking,Returns
TKT-000117,Bronze,Phone,Low,EnterpriseERP,20.2,17.5,9.7,0,-0.72,Cannot reset password,Returns
TKT-000118,Gold,WebPortal,Critical,EnterpriseERP,40.2,50.6,0.8,0,-0.47,Cannot reset password,Returns
TKT-000119,Bronze,Chat,High,RetailPOS,27.4,118,2.2,1,-0.47,API rate limit exceeded,Billing
TKT-000120,Platinum,Chat,High,RetailPOS,10.4,70.3,11.7,0,0.54,Request refund for order #4421,Billing
TKT-000121,Gold,WebPortal,Medium,CloudSuite,7.8,68.2,2.5,0,-0.29,Delayed shipment tracking,Shipping
TKT-000122,Silver,Chat,Low,RetailPOS,14.2,18.5,11.1,0,0.19,Invoice discrepancy for March,AccountAccess
TKT-000123,Bronze,Phone,Medium,MobileApp,39.3,78.1,11.6,0,-0.1,Invoice discrepancy for March,ProductInquiry
TKT-000124,Bronze,Phone,High,MobileApp,25.9,117,9.3,1,0.29,Cannot reset password,ProductInquiry
TKT-000125,Platinum,Email,Low,EnterpriseERP,44.7,31.1,3.2,1,0.29,API rate limit exceeded,Shipping
TKT-000126,Bronze,Phone,Critical,MobileApp,47.6,49.6,9.8,0,0.94,App crashes on startup,Returns
TKT-000127,Silver,Email,Medium,CloudSuite,2.9,22.7,11.2,0,-0.29,Cannot reset password,Billing
TKT-000128,Silver,WebPortal,Low,MobileApp,13.1,89,0.9,0,-0.15,Invoice discrepancy for March,AccountAccess
TKT-000129,Gold,Email,Low,EnterpriseERP,43.9,91.4,4.2,1,-0.06,Invoice discrepancy for March,Billing
TKT-000130,Platinum,WebPortal,Critical,CloudSuite,21.1,110.2,11.6,0,-0.64,Delayed shipment tracking,ProductInquiry
TKT-000131,Silver,WebPortal,Critical,RetailPOS,16.7,93.5,8.6,0,0.95,Cannot reset password,Shipping
TKT-000132,Gold,Email,Medium,CloudSuite,26.4,92.7,5.9,1,0.33,Request refund for order #4421,Returns
TKT-000133,Bronze,WebPortal,Critical,RetailPOS,29.1,4.8,11.5,0,0.16,Delayed shipment tracking,Technical
TKT-000134,Gold,Phone,High,MobileApp,13.5,15.6,2.9,0,-0.59,Invoice discrepancy for March,AccountAccess
TKT-000135,Bronze,Phone,Low,CloudSuite,44.2,103.6,1.1,0,0.3,Invoice discrepancy for March,AccountAccess
TKT-000136,Silver,WebPortal,Low,EnterpriseERP,46.5,43.5,6.3,0,-0.91,App crashes on startup,Technical
TKT-000137,Bronze,Phone,Low,EnterpriseERP,24.8,115.1,12,0,-0.7,Invoice discrepancy for March,AccountAccess
TKT-000138,Silver,Email,Low,RetailPOS,17.7,63.5,11.7,1,-0.94,API rate limit exceeded,Technical
TKT-000139,Silver,Email,Critical,CloudSuite,23.1,61,2.4,1,-0.45,Request refund for order #4421,AccountAccess
TKT-000140,Gold,Chat,Low,MobileApp,21.7,16.9,1.9,0,-0.35,Invoice discrepancy for March,Technical
TKT-000141,Gold,Phone,Low,MobileApp,43.7,29.3,10.7,0,0.81,Delayed shipment tracking,Technical
TKT-000142,Silver,WebPortal,Critical,MobileApp,4.5,4.3,3.4,0,0.17,Delayed shipment tracking,AccountAccess
TKT-000143,Platinum,Email,Critical,MobileApp,37.4,62.6,10.8,1,-0.97,Delayed shipment tracking,Billing
TKT-000144,Gold,WebPortal,Low,MobileApp,16.4,77.3,6.7,1,-0.04,App crashes on startup,AccountAccess
TKT-000145,Platinum,Email,High,RetailPOS,42.1,105.1,9.9,0,-0.18,Cannot reset password,ProductInquiry
TKT-000146,Gold,Email,Critical,CloudSuite,5.7,101.8,11.2,0,-0.18,Invoice discrepancy for March,Shipping
TKT-000147,Silver,Chat,High,CloudSuite,16.6,36.3,9.3,0,-0.39,App crashes on startup,Returns
TKT-000148,Gold,WebPortal,Critical,RetailPOS,17.9,59.3,11.7,0,0.57,Request refund for order #4421,AccountAccess
TKT-000149,Gold,Email,Low,CloudSuite,34.3,28.5,2.4,0,-0.59,API rate limit exceeded,Technical
TKT-000150,Silver,Email,High,CloudSuite,11.4,21.2,1.7,0,0.79,API rate limit exceeded,AccountAccess
TKT-000151,Platinum,Email,Critical,CloudSuite,4.4,108.7,11.4,0,0.7,Invoice discrepancy for March,Returns
TKT-000152,Bronze,Phone,Medium,EnterpriseERP,10.5,119.4,7.2,0,-0.4,Delayed shipment tracking,Shipping
TKT-000153,Bronze,Chat,Medium,RetailPOS,19.4,99.1,7.9,0,-0.56,App crashes on startup,Billing
TKT-000154,Gold,Chat,Critical,RetailPOS,37.2,44.3,10.3,0,-0.47,App crashes on startup,ProductInquiry
TKT-000155,Silver,WebPortal,Critical,RetailPOS,4.5,15,7.2,0,0.1,Invoice discrepancy for March,Billing
TKT-000156,Silver,WebPortal,Critical,RetailPOS,34.5,58.9,2.2,0,0.45,App crashes on startup,Shipping
TKT-000157,Gold,Phone,Medium,RetailPOS,15.8,107.1,7.8,0,0.97,API rate limit exceeded,Billing
TKT-000158,Silver,Email,Low,MobileApp,4.8,73.7,8.5,0,-0.94,Delayed shipment tracking,ProductInquiry
TKT-000159,Bronze,Email,Critical,MobileApp,18.4,118.3,10.2,0,0.06,Cannot reset password,Technical
TKT-000160,Platinum,Chat,Critical,EnterpriseERP,2.6,37.5,5.3,0,-0.83,Delayed shipment tracking,Billing
TKT-000161,Bronze,Email,Critical,RetailPOS,32.6,12.7,9.4,1,0.15,API rate limit exceeded,Returns
TKT-000162,Gold,Email,High,CloudSuite,22.9,70,5,1,-0.32,Delayed shipment tracking,AccountAccess
TKT-000163,Gold,Email,Critical,EnterpriseERP,44.9,11.5,9.8,1,-0.22,Delayed shipment tracking,AccountAccess
TKT-000164,Gold,Email,Low,CloudSuite,43.4,51.3,7.3,0,-0.04,Invoice discrepancy for March,AccountAccess
TKT-000165,Platinum,Email,Medium,EnterpriseERP,14.8,55.2,5.4,1,0.39,Request refund for order #4421,AccountAccess
TKT-000166,Silver,Email,Low,RetailPOS,11.2,98.8,2.3,0,-0.77,Request refund for order #4421,AccountAccess
TKT-000167,Gold,Phone,High,EnterpriseERP,31.6,101,8.8,0,-0.55,API rate limit exceeded,Shipping
TKT-000168,Silver,Chat,Low,CloudSuite,32,3.2,7.2,0,0.5,Cannot reset password,ProductInquiry
TKT-000169,Gold,WebPortal,High,CloudSuite,3,63.4,0.8,0,0.67,Invoice discrepancy for March,Shipping
TKT-000170,Bronze,Email,Medium,EnterpriseERP,15.1,45.9,10.4,0,-0.17,Delayed shipment tracking,Shipping
TKT-000171,Platinum,WebPortal,High,RetailPOS,10.4,97.9,4.9,0,-0.17,API rate limit exceeded,AccountAccess
TKT-000172,Silver,WebPortal,Critical,EnterpriseERP,2.2,67.8,5,1,0.08,Request refund for order #4421,Technical
TKT-000173,Gold,WebPortal,Medium,MobileApp,43.4,55.9,5.5,1,0.92,API rate limit exceeded,Returns
TKT-000174,Silver,Phone,Critical,EnterpriseERP,42.9,38.6,1.6,0,0.46,Cannot reset password,Billing
TKT-000175,Silver,Email,Medium,RetailPOS,45.9,80.8,10.9,0,-0.34,Delayed shipment tracking,Billing
TKT-000176,Gold,Chat,Critical,RetailPOS,26.3,93.2,1.1,1,0.09,App crashes on startup,ProductInquiry
TKT-000177,Platinum,WebPortal,Critical,CloudSuite,2.8,31.1,11.1,0,-0.3,Invoice discrepancy for March,Returns
TKT-000178,Bronze,WebPortal,Low,RetailPOS,22.3,8.7,10.1,1,0.37,Cannot reset password,Shipping
TKT-000179,Silver,Chat,Critical,EnterpriseERP,38.9,118.3,7.9,0,0.69,Invoice discrepancy for March,Returns
TKT-000180,Silver,Chat,Low,EnterpriseERP,28,59.2,10.3,0,0.57,App crashes on startup,Billing
TKT-000181,Silver,Chat,Critical,EnterpriseERP,27.8,3.6,2.9,0,0.46,Invoice discrepancy for March,ProductInquiry
TKT-000182,Gold,Chat,High,RetailPOS,20.2,103.6,11,0,-0.52,Invoice discrepancy for March,Shipping
TKT-000183,Gold,WebPortal,Medium,RetailPOS,46.7,36.2,5.4,0,-0.27,App crashes on startup,Technical
TKT-000184,Silver,WebPortal,Medium,MobileApp,46.2,115.8,10.2,0,0.95,Invoice discrepancy for March,Returns
TKT-000185,Platinum,WebPortal,Critical,MobileApp,6.3,112.9,5.6,0,-0.54,App crashes on startup,AccountAccess
TKT-000186,Platinum,Chat,Low,CloudSuite,26.3,35.4,9.1,1,0.91,Invoice discrepancy for March,AccountAccess
TKT-000187,Bronze,Email,Medium,RetailPOS,7.2,20.3,10.4,1,0.41,Delayed shipment tracking,ProductInquiry
TKT-000188,Bronze,Phone,Critical,RetailPOS,15.7,32.2,3.4,0,0.84,Request refund for order #4421,Shipping
TKT-000189,Platinum,Email,Critical,CloudSuite,28.6,57,2.9,0,-0.41,Cannot reset password,Shipping
TKT-000190,Bronze,Email,Low,EnterpriseERP,43.3,36.7,4.4,0,-0.72,App crashes on startup,Technical
TKT-000191,Gold,WebPortal,Medium,RetailPOS,5.1,1.7,5.1,0,-0.12,App crashes on startup,Returns
TKT-000192,Bronze,Email,Medium,MobileApp,28.3,42.2,5.6,0,0.57,Request refund for order #4421,Technical
TKT-000193,Gold,Email,Medium,RetailPOS,40.3,112.6,3.4,0,0.57,API rate limit exceeded,ProductInquiry
TKT-000194,Silver,Chat,Medium,MobileApp,13.6,15.5,6.7,0,-0.98,Cannot reset password,Technical
TKT-000195,Gold,Chat,High,CloudSuite,47.9,23.3,0.7,1,0.58,API rate limit exceeded,Shipping
TKT-000196,Silver,Phone,High,CloudSuite,2.5,6.4,3.9,0,-0.26,Cannot reset password,Billing
TKT-000197,Gold,WebPortal,Low,RetailPOS,33.3,64.6,4.1,0,0.36,Request refund for order #4421,Returns
TKT-000198,Gold,Chat,High,CloudSuite,18.5,18.5,2.8,0,-0.89,API rate limit exceeded,Returns
TKT-000199,Gold,Phone,High,RetailPOS,17.8,64.1,7,0,0.81,Cannot reset password,Technical
TKT-000200,Platinum,Email,Critical,EnterpriseERP,39,23.5,2.1,1,-0.99,Request refund for order #4421,Billing
TKT-000201,Bronze,WebPortal,Critical,RetailPOS,22.5,41.7,6.5,0,-0.25,App crashes on startup,AccountAccess
TKT-000202,Bronze,Email,Medium,EnterpriseERP,23.2,83.5,0.5,0,0,Delayed shipment tracking,Shipping
TKT-000203,Platinum,Email,Low,MobileApp,23.2,71.3,6.4,0,-0.11,App crashes on startup,ProductInquiry
TKT-000204,Platinum,Chat,High,MobileApp,31.9,8.6,5.7,0,0.8,Invoice discrepancy for March,Technical
TKT-000205,Bronze,Phone,Critical,RetailPOS,24.7,108.5,8.1,0,0.88,Cannot reset password,ProductInquiry
TKT-000206,Silver,WebPortal,Medium,EnterpriseERP,38.3,110.7,2.3,0,0.04,Request refund for order #4421,ProductInquiry
TKT-000207,Silver,Chat,Medium,EnterpriseERP,17.6,84.3,10.4,0,-0.22,App crashes on startup,Shipping
TKT-000208,Bronze,Chat,Medium,MobileApp,41.7,59.4,0.7,0,-0.66,App crashes on startup,AccountAccess
TKT-000209,Bronze,Email,Low,RetailPOS,13.6,17.4,7.2,0,-0.66,Cannot reset password,ProductInquiry
TKT-000210,Bronze,Phone,High,RetailPOS,20.7,76.9,11.1,0,-0.94,API rate limit exceeded,ProductInquiry
TKT-000211,Silver,Email,Critical,RetailPOS,10.5,54.3,5.5,1,0.4,App crashes on startup,Returns
TKT-000212,Gold,Phone,Critical,RetailPOS,27.5,16.7,0.8,0,0.85,App crashes on startup,Billing
TKT-000213,Platinum,WebPortal,High,RetailPOS,6.1,7.1,7.6,0,-0.25,Request refund for order #4421,Technical
TKT-000214,Gold,WebPortal,Medium,MobileApp,28.3,23.7,5.7,0,0.81,App crashes on startup,Billing
TKT-000215,Silver,Phone,Low,MobileApp,40.2,16.7,1.2,0,0.92,App crashes on startup,Billing
TKT-000216,Bronze,Phone,High,MobileApp,23.1,11.2,8.8,0,-0.84,App crashes on startup,Shipping
TKT-000217,Gold,Email,Critical,CloudSuite,0.6,79.8,0.6,0,-0.33,Cannot reset password,AccountAccess
TKT-000218,Bronze,Email,Critical,MobileApp,38.6,97.5,11.8,0,-0.03,API rate limit exceeded,AccountAccess
TKT-000219,Silver,Chat,High,MobileApp,1.2,91.1,0.9,0,-0.64,App crashes on startup,Billing
TKT-000220,Gold,Chat,Critical,EnterpriseERP,42.9,26.2,5.4,0,-0.5,Delayed shipment tracking,Billing
TKT-000221,Gold,Phone,High,MobileApp,33.8,71.5,7.1,1,-0.74,Delayed shipment tracking,Shipping
TKT-000222,Silver,WebPortal,High,MobileApp,10.4,48.7,2.3,1,0.99,App crashes on startup,ProductInquiry
TKT-000223,Silver,Phone,High,EnterpriseERP,27.7,114.1,2,0,0.15,API rate limit exceeded,Returns
TKT-000224,Gold,Chat,High,CloudSuite,13.6,26.5,7.7,1,0.3,Invoice discrepancy for March,AccountAccess
TKT-000225,Bronze,Chat,Critical,RetailPOS,3.2,37.6,10.9,0,-0.81,Request refund for order #4421,Technical
TKT-000226,Platinum,Email,Medium,EnterpriseERP,30.7,51.1,2.7,0,0.61,Request refund for order #4421,Returns
TKT-000227,Bronze,Chat,Medium,EnterpriseERP,12.7,57.6,5.9,0,0.59,API rate limit exceeded,Technical
TKT-000228,Gold,WebPortal,Low,MobileApp,13.5,40.2,3.5,0,-0.37,App crashes on startup,Billing
TKT-000229,Gold,WebPortal,Low,CloudSuite,23.5,29.7,1.7,0,0.23,API rate limit exceeded,AccountAccess
TKT-000230,Platinum,Email,High,CloudSuite,41,114.6,9.4,1,0.17,Delayed shipment tracking,Returns
TKT-000231,Gold,Phone,Low,MobileApp,18.7,78.1,4.2,0,-0.01,Delayed shipment tracking,AccountAccess
TKT-000232,Silver,Email,Critical,RetailPOS,6.8,73,8.1,1,-0.16,App crashes on startup,AccountAccess
