RecordId,Text,NewsTopic,WordCount,Source
NLP-000095,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000096,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000097,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000098,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000099,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000100,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000101,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000102,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000103,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000104,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000105,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000106,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000107,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000108,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000109,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000110,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000111,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000112,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000113,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000114,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000115,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000116,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000117,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000118,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000119,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000120,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000121,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000122,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000123,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000124,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000125,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000126,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000127,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000128,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000129,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000130,New study links regular exercise to improved cognitive function in adults.,Health,11,Review
NLP-000131,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000132,New study links regular exercise to improved cognitive function in adults.,Health,11,Review
NLP-000133,New study links regular exercise to improved cognitive function in adults.,Health,11,Review
NLP-000134,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000135,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000136,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000137,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000138,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
NLP-000139,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000140,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000141,Global markets react to central bank interest rate decision.,Business,9,Chat
NLP-000142,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000143,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000144,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000145,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000146,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000147,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000148,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000149,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000150,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000151,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000152,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000153,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000154,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000155,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000156,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000157,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000158,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000159,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000160,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000161,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000162,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000163,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000164,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000165,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000166,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000167,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000168,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000169,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000170,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000171,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000172,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000173,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000174,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000175,Global markets react to central bank interest rate decision.,Business,9,Chat
NLP-000176,Global markets react to central bank interest rate decision.,Business,9,Chat
NLP-000177,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000178,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000179,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000180,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000181,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000182,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
NLP-000183,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000184,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000185,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000186,Global markets react to central bank interest rate decision.,Business,9,Chat
NLP-000187,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000188,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000189,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000190,Global markets react to central bank interest rate decision.,Business,9,Chat
NLP-000191,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000192,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000193,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000194,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000195,Global markets react to central bank interest rate decision.,Business,9,Chat
NLP-000196,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000197,New study links regular exercise to improved cognitive function in adults.,Health,11,Ticket
NLP-000198,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000199,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000200,Global markets react to central bank interest rate decision.,Business,9,Chat
NLP-000201,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000202,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000203,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000204,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000205,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000206,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000207,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000208,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000209,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000210,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000211,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000212,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000213,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000214,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000215,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000216,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000217,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000218,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000219,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000220,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000221,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000222,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000223,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000224,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000225,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000226,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000227,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000228,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000229,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000230,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000231,Major tech company announces breakthrough in quantum computing research.,Technology,9,SocialMedia
NLP-000232,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000233,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000234,Underdog team wins championship in dramatic overtime finish.,Sports,8,Survey
NLP-000235,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000236,Underdog team wins championship in dramatic overtime finish.,Sports,8,Survey
NLP-000237,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000238,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000239,Major tech company announces breakthrough in quantum computing research.,Technology,9,SocialMedia
NLP-000240,New study links regular exercise to improved cognitive function in adults.,Health,11,Ticket
NLP-000241,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000242,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000243,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000244,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000245,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000246,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000247,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000248,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000249,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
NLP-000250,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000251,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000252,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000253,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000254,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000255,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000256,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000257,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000258,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000259,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000260,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000261,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000262,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000263,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
NLP-000264,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000265,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000266,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000267,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000268,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000269,Global markets react to central bank interest rate decision.,Business,9,Chat
NLP-000270,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000271,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000272,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000273,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000274,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000275,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000276,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000277,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000278,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000279,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
NLP-000280,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000281,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
NLP-000282,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000283,Major tech company announces breakthrough in quantum computing research.,Technology,9,SocialMedia
NLP-000284,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000285,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000286,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000287,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000288,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000289,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000290,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000291,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000292,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000293,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000294,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000295,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000296,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000297,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000298,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000299,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
NLP-000300,Major tech company announces breakthrough in quantum computing research.,Technology,9,SocialMedia
NLP-000301,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000302,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000303,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000304,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000305,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000306,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000307,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000308,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000309,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000310,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000311,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000312,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000313,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000314,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000315,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
NLP-000316,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000317,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000318,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000319,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000320,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000321,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000322,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000323,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000324,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000325,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000326,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000327,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000328,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000329,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000330,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000331,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000332,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000333,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000334,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000335,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000336,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000337,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000338,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000339,New study links regular exercise to improved cognitive function in adults.,Health,11,Ticket
NLP-000340,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000341,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000342,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000343,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000344,Major tech company announces breakthrough in quantum computing research.,Technology,9,SocialMedia
NLP-000345,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000346,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000347,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000348,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000349,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000350,Major tech company announces breakthrough in quantum computing research.,Technology,9,SocialMedia
NLP-000351,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000352,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000353,New study links regular exercise to improved cognitive function in adults.,Health,11,Review
NLP-000354,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000355,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000356,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000357,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000358,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000359,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000360,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000361,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000362,New study links regular exercise to improved cognitive function in adults.,Health,11,Ticket
NLP-000363,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000364,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
NLP-000365,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000366,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000367,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000368,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000369,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000370,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000371,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000372,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000373,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Email
